author,post,upvotes,downvotes,total reply count,direct reply count,wordcount,posting utc date,posting utc time,posted at (unix timestamp),posted at (utc unix timestamp)
nisiamo,"WAYWT - August 30, 2017",48,0,6,4,28,2017-08-30,16:46:06,1504140366.0,1504111566.0
ImHereToBlowSunshine,"WAYWT - August 30, 2017",39,0,12,6,73,2017-08-30,17:23:54,1504142634.0,1504113834.0
tirchama,"WAYWT - August 30, 2017",33,0,12,4,36,2017-08-30,17:46:30,1504143990.0,1504115190.0
emaleau,"WAYWT - August 30, 2017",65,0,19,8,95,2017-08-30,16:30:08,1504139408.0,1504110608.0
robotgwen,"WAYWT - August 30, 2017",32,0,3,2,20,2017-08-30,16:18:40,1504138720.0,1504109920.0
totesk,"WAYWT - August 30, 2017",28,0,8,5,97,2017-08-30,16:42:32,1504140152.0,1504111352.0
bikinikills,"WAYWT - August 30, 2017",25,0,6,3,65,2017-08-30,18:06:38,1504145198.0,1504116398.0
iixxxxx,"WAYWT - August 30, 2017",27,0,0,0,161,2017-08-30,23:00:48,1504162848.0,1504134048.0
domesticenginerd,"WAYWT - August 30, 2017",19,0,0,0,17,2017-08-30,16:46:06,1504140366.0,1504111566.0
exmechanistic,"WAYWT - August 30, 2017",31,0,4,2,5,2017-08-30,16:49:08,1504140548.0,1504111748.0
Daniellewhatever,"WAYWT - August 30, 2017",16,0,8,3,130,2017-08-30,19:06:22,1504148782.0,1504119982.0
Lillyeth,"WAYWT - August 30, 2017",17,0,4,3,21,2017-08-31,08:37:28,1504197448.0,1504168648.0
eyeslikeashowroom,"WAYWT - August 30, 2017",25,0,4,3,152,2017-08-30,17:20:07,1504142407.0,1504113607.0
notyourmango,"WAYWT - August 30, 2017",25,0,11,6,99,2017-08-30,18:46:50,1504147610.0,1504118810.0
actinghard,"WAYWT - August 30, 2017",22,0,8,4,36,2017-08-30,16:47:32,1504140452.0,1504111652.0
TheSwedeAtLarge,"WAYWT - August 30, 2017",21,0,2,2,255,2017-08-30,17:27:27,1504142847.0,1504114047.0
,"WAYWT - August 30, 2017",17,0,8,5,1,2017-08-30,18:13:02,1504145582.0,1504116782.0
andIthankya,"WAYWT - August 30, 2017",15,0,1,1,82,2017-08-30,22:18:28,1504160308.0,1504131508.0
rhythmofdevotion,"WAYWT - August 30, 2017",16,0,2,1,56,2017-08-30,16:39:05,1504139945.0,1504111145.0
ruthannr94,"WAYWT - August 30, 2017",26,0,5,4,34,2017-08-30,16:58:27,1504141107.0,1504112307.0
sarahkittyy,"WAYWT - August 30, 2017",5,0,1,1,77,2017-08-31,20:40:24,1504240824.0,1504212024.0
respectablerag,"WAYWT - August 30, 2017",19,0,6,6,77,2017-08-30,23:17:24,1504163844.0,1504135044.0
guineaparade,"WAYWT - August 30, 2017",9,0,1,1,38,2017-08-30,16:41:54,1504140114.0,1504111314.0
LizzyLemonade,"WAYWT - August 30, 2017",9,0,3,3,181,2017-08-30,17:10:22,1504141822.0,1504113022.0
,"WAYWT - August 30, 2017",2,0,1,1,1,2017-08-30,20:03:35,1504152215.0,1504123415.0
Sizzleen,"WAYWT - August 30, 2017",-7,0,19,1,40,2017-08-31,19:40:23,1504237223.0,1504208423.0
